"Data","Precipitacao","TempMaxima","Umidade Relativa Media","Dias de Secura","Risco de Fogo"
2018-01-18,0.0,32.3,86.5,50.54986880730247,2
2018-03-04,0.0,30.3,87.0,11.385724685620236,0
2018-05-24,1.9,33.9,72.75,8.502756033331128,0
2018-05-31,0.0,34.3,74.5,39.754790523667964,2
2018-06-03,0.0,35.9,76.5,42.90251076265989,2
2018-06-14,0.0,34.0,71.75,39.516975937727096,2
2018-06-19,0.0,34.2,74.25,55.191576950179154,3
2018-06-21,0.0,35.3,71.0,57.19350541007688,3
2018-06-25,0.0,35.3,85.5,61.648589497868855,3
2018-06-26,0.0,35.2,70.0,65.1472667924556,3
2018-06-27,0.0,34.7,63.75,65.69680867812957,3
2018-07-02,0.0,35.8,69.25,68.34923359489692,3
2018-07-10,0.0,34.9,74.25,66.97171393394738,3
2018-08-01,0.0,35.8,73.75,83.3251438160511,2
2018-08-02,0.0,37.2,68.25,83.43019966854749,2
2018-08-07,0.0,37.0,69.25,87.12556466564912,2
2018-08-08,0.0,36.3,77.0,88.483876604613,2
2018-08-09,0.0,35.3,72.0,89.33473215373824,2
2018-08-12,0.0,35.2,69.75,95.51185254051586,1
2018-08-19,0.0,36.8,62.5,67.34242000231508,3
2018-08-20,0.0,37.6,61.5,73.97967180719087,3
2018-08-21,0.0,37.2,65.25,81.27108946354349,2
2018-08-22,0.0,37.9,64.0,89.5467065593934,2
2018-08-23,0.0,37.1,61.25,89.59776273175905,2
2018-08-27,0.0,36.8,69.75,91.29813408048501,2
2018-08-28,0.0,37.1,68.25,91.29813408048501,2
2018-08-29,0.0,37.2,66.0,91.29813408048501,2
2018-08-30,0.0,39.0,62.75,91.80441132833991,2
2018-09-02,0.0,37.1,73.25,95.62940439871313,1
2018-09-03,0.0,35.7,71.75,95.62940439871313,1
2018-09-04,0.0,35.9,60.25,96.02228982149774,1
2018-09-09,0.0,37.7,73.0,98.5496369975377,1
2018-09-10,0.0,36.7,63.0,98.5496369975377,1
2018-09-12,0.0,35.3,71.25,98.92285957165747,1
2018-09-13,0.0,38.5,52.25,98.92285957165747,1
2018-09-16,0.0,38.7,68.5,100.80020104784221,1
2018-09-23,0.0,36.7,69.25,90.41411098266099,2
2018-09-24,0.0,36.5,69.0,94.00992390524047,1
2018-09-25,0.0,39.2,72.25,97.74874404686643,1
2018-09-26,0.0,34.9,78.5,97.74874404686643,1
2018-09-30,0.0,36.4,73.5,56.49772377414233,3
2018-10-02,0.0,36.5,75.0,74.60446441748711,3
2018-10-03,0.0,36.3,68.25,85.72978802999585,2
2018-10-04,0.0,37.9,66.25,85.8353005461677,2
2018-10-08,0.0,33.9,68.5,89.64257281471211,2
2018-10-09,0.0,37.8,67.75,90.51271609365487,2
2018-10-10,0.0,36.2,70.0,90.51271609365487,2
2018-10-14,0.0,39.2,68.0,95.68775613086528,1
2018-10-15,0.0,31.7,81.0,95.68775613086528,1
2018-10-16,0.0,32.3,69.75,96.59146180086813,1
2018-10-17,11.8,35.6,75.5,96.59146180086813,1
2018-10-22,0.1,38.5,60.75,53.63974744974514,4
2018-10-23,0.0,39.8,68.25,67.10713352383254,3
2018-10-24,0.0,39.7,63.75,76.19458141749396,3
2018-10-25,0.0,36.3,72.75,76.42350838049576,3
2018-10-28,0.1,38.1,78.25,80.6961083267857,2
2018-10-29,0.0,34.9,72.25,81.50711769851203,2
2018-10-30,0.0,33.8,75.5,82.07966911444099,2
2018-10-31,0.0,35.3,66.5,82.32627784993105,2
2018-11-04,0.0,34.3,83.5,91.10023193102097,1
2018-11-07,7.4,35.3,81.5,38.52704068289646,2
2018-11-11,0.0,33.9,86.25,63.279432172004995,3
2018-11-12,0.0,35.3,74.0,68.48127499469912,3
2018-11-13,3.2,35.0,77.0,74.14038200251036,3
2018-11-18,0.0,36.6,73.5,76.4609650757431,3
2018-11-20,0.0,34.9,77.25,79.33507592136795,2
2018-11-21,70.6,32.8,79.5,83.33597678887514,2
2018-12-02,0.0,28.8,86.75,11.1806024218036,0
